NAME,PLATE,MW
MOL00000065,PLATE00000001,297.27
MOL00000066,PLATE00000001,366.52
MOL00000067,PLATE00000001,278.23
MOL00000068,PLATE00000001,356.40
MOL00000069,PLATE00000001,373.43
MOL00000070,PLATE00000001,330.36
MOL00000071,PLATE00000001,397.41
MOL00000072,PLATE00000001,398.35
MOL00000073,PLATE00000001,376.47
MOL00000074,PLATE00000001,284.34
MOL00000075,PLATE00000001,313.39
MOL00000076,PLATE00000001,305.30
MOL00000077,PLATE00000001,361.45
MOL00000078,PLATE00000001,372.81
MOL00000079,PLATE00000001,315.80
MOL00000080,PLATE00000001,303.79
MOL00000081,PLATE00000001,343.35
MOL00000082,PLATE00000001,335.38
MOL00000083,PLATE00000001,346.43
MOL00000084,PLATE00000001,370.83
MOL00000085,PLATE00000001,257.25
MOL00000086,PLATE00000001,332.41
MOL00000087,PLATE00000001,370.32
MOL00000088,PLATE00000001,329.31
MOL00000089,PLATE00000001,394.43
MOL00000090,PLATE00000001,311.36
MOL00000091,PLATE00000001,392.80
MOL00000092,PLATE00000001,337.43
MOL00000093,PLATE00000001,361.74
MOL00000094,PLATE00000001,284.33
MOL00000095,PLATE00000001,327.40
MOL00000096,PLATE00000001,370.40
MOL00000097,PLATE00000001,327.38
MOL00000098,PLATE00000001,302.35
MOL00000099,PLATE00000001,285.41
MOL00000100,PLATE00000001,379.44
MOL00000101,PLATE00000001,312.39
MOL00000102,PLATE00000001,373.40
MOL00000103,PLATE00000001,292.34
MOL00000104,PLATE00000001,378.46
MOL00000105,PLATE00000001,367.47
MOL00000106,PLATE00000001,378.38
MOL00000107,PLATE00000001,375.47
MOL00000108,PLATE00000001,369.41
MOL00000109,PLATE00000001,392.43
MOL00000110,PLATE00000001,295.81
MOL00000111,PLATE00000001,334.82
MOL00000112,PLATE00000001,313.38
MOL00000113,PLATE00000001,329.44
MOL00000114,PLATE00000001,357.78
MOL00000115,PLATE00000001,270.23
MOL00000116,PLATE00000001,374.46
MOL00000117,PLATE00000001,339.37
MOL00000118,PLATE00000001,327.28
MOL00000119,PLATE00000001,366.31
MOL00000120,PLATE00000001,312.37
MOL00000121,PLATE00000001,376.47
MOL00000122,PLATE00000001,389.40
MOL00000123,PLATE00000001,332.43
MOL00000124,PLATE00000001,312.36
MOL00000125,PLATE00000001,342.37
MOL00000126,PLATE00000001,347.34
MOL00000127,PLATE00000001,256.24
MOL00000128,PLATE00000001,272.30
MOL00000129,PLATE00000001,279.30
MOL00000130,PLATE00000001,271.25
MOL00000131,PLATE00000001,320.40
MOL00000132,PLATE00000001,394.38
MOL00000133,PLATE00000001,272.28
MOL00000134,PLATE00000001,324.34
MOL00000135,PLATE00000001,289.31
MOL00000136,PLATE00000001,390.86
MOL00000137,PLATE00000001,365.39
MOL00000138,PLATE00000001,335.36
MOL00000139,PLATE00000001,317.35
MOL00000140,PLATE00000001,354.28
MOL00000141,PLATE00000001,354.41
MOL00000142,PLATE00000001,323.40
MOL00000143,PLATE00000001,363.43
MOL00000144,PLATE00000001,304.27
MOL00000145,PLATE00000001,305.37
MOL00000146,PLATE00000001,258.30
MOL00000147,PLATE00000001,364.37
MOL00000148,PLATE00000001,385.43
MOL00000149,PLATE00000001,302.28
MOL00000150,PLATE00000001,290.33
MOL00000151,PLATE00000001,318.39
MOL00000152,PLATE00000001,396.53
MOL00000153,PLATE00000001,372.43
MOL00000154,PLATE00000001,376.38
MOL00000155,PLATE00000001,311.34
MOL00000156,PLATE00000001,377.44
MOL00000157,PLATE00000001,321.76
MOL00000158,PLATE00000001,355.40
MOL00000159,PLATE00000001,336.47
MOL00000160,PLATE00000001,330.37
MOL00000161,PLATE00000001,356.42
MOL00000162,PLATE00000001,299.26
MOL00000163,PLATE00000001,349.26
MOL00000164,PLATE00000001,387.43
MOL00000165,PLATE00000001,359.40
MOL00000166,PLATE00000001,283.31
MOL00000167,PLATE00000001,340.38
MOL00000168,PLATE00000001,375.40
MOL00000169,PLATE00000001,317.35
MOL00000170,PLATE00000001,289.35
MOL00000171,PLATE00000001,361.40
MOL00000172,PLATE00000001,282.30
MOL00000173,PLATE00000001,338.33
MOL00000174,PLATE00000001,316.34
MOL00000175,PLATE00000001,268.28
MOL00000176,PLATE00000001,333.35
MOL00000177,PLATE00000001,377.44
MOL00000178,PLATE00000001,269.32
MOL00000179,PLATE00000001,339.41
MOL00000180,PLATE00000001,373.39
MOL00000181,PLATE00000001,350.42
MOL00000182,PLATE00000001,250.21
MOL00000183,PLATE00000001,305.34
MOL00000184,PLATE00000001,360.38
MOL00000185,PLATE00000001,339.39
MOL00000186,PLATE00000001,366.42
MOL00000187,PLATE00000001,313.36
MOL00000188,PLATE00000001,301.73
MOL00000189,PLATE00000001,384.37
MOL00000190,PLATE00000001,380.44
MOL00000191,PLATE00000001,366.43
MOL00000192,PLATE00000001,364.39
MOL00000193,PLATE00000001,329.42
MOL00000194,PLATE00000001,258.30
MOL00000195,PLATE00000001,299.44
MOL00000196,PLATE00000001,367.40
MOL00000197,PLATE00000001,309.39
MOL00000198,PLATE00000001,396.48
MOL00000199,PLATE00000001,380.42
MOL00000200,PLATE00000001,368.46
MOL00000201,PLATE00000001,350.44
MOL00000202,PLATE00000001,333.77
MOL00000203,PLATE00000001,311.34
MOL00000204,PLATE00000001,425.83
MOL00000205,PLATE00000001,342.37
MOL00000206,PLATE00000001,305.34
MOL00000207,PLATE00000001,361.28
MOL00000208,PLATE00000001,318.31
MOL00000209,PLATE00000001,293.30
MOL00000210,PLATE00000001,384.28
MOL00000211,PLATE00000001,377.32
MOL00000212,PLATE00000001,355.46
MOL00000213,PLATE00000001,278.26
MOL00000214,PLATE00000001,305.31
MOL00000215,PLATE00000001,291.29
MOL00000216,PLATE00000001,308.40
MOL00000217,PLATE00000001,369.42
MOL00000218,PLATE00000001,389.45
MOL00000219,PLATE00000001,342.46
MOL00000220,PLATE00000001,351.83
MOL00000221,PLATE00000001,376.43
MOL00000222,PLATE00000001,362.45
MOL00000223,PLATE00000001,353.47
MOL00000224,PLATE00000001,377.40
MOL00000225,PLATE00000001,271.33
MOL00000226,PLATE00000001,370.79
MOL00000227,PLATE00000001,354.43
MOL00000228,PLATE00000001,348.36
MOL00000229,PLATE00000001,348.41
MOL00000230,PLATE00000001,307.30
MOL00000231,PLATE00000001,317.35
MOL00000232,PLATE00000001,376.84
MOL00000233,PLATE00000001,313.74
MOL00000234,PLATE00000001,336.32
MOL00000235,PLATE00000001,390.78
MOL00000236,PLATE00000001,250.26
MOL00000237,PLATE00000001,391.43
MOL00000238,PLATE00000001,351.42
MOL00000239,PLATE00000001,264.24
MOL00000240,PLATE00000001,356.26
MOL00000241,PLATE00000001,329.44
MOL00000242,PLATE00000001,268.38
MOL00000243,PLATE00000001,349.39
MOL00000244,PLATE00000001,323.37
MOL00000245,PLATE00000001,266.23
MOL00000246,PLATE00000001,277.24
MOL00000247,PLATE00000001,282.68
MOL00000248,PLATE00000001,284.69
MOL00000249,PLATE00000001,310.37
MOL00000250,PLATE00000001,354.43
MOL00000251,PLATE00000001,340.45
MOL00000252,PLATE00000001,383.40
MOL00000253,PLATE00000001,356.36
MOL00000254,PLATE00000001,268.29
MOL00000255,PLATE00000001,285.41
MOL00000256,PLATE00000001,324.40
MOL00000257,PLATE00000001,328.38
MOL00000258,PLATE00000001,320.35
MOL00000259,PLATE00000001,273.21
MOL00000260,PLATE00000001,375.87
MOL00000261,PLATE00000001,321.38
MOL00000262,PLATE00000001,338.34
MOL00000263,PLATE00000001,371.46
MOL00000264,PLATE00000001,336.39
MOL00000265,PLATE00000001,379.80
MOL00000266,PLATE00000001,373.40
MOL00000267,PLATE00000001,336.47
MOL00000268,PLATE00000001,374.83
MOL00000269,PLATE00000001,295.30
MOL00000270,PLATE00000001,262.26
MOL00000271,PLATE00000001,286.28
MOL00000272,PLATE00000001,275.31
MOL00000273,PLATE00000001,306.32
MOL00000274,PLATE00000001,311.27
MOL00000275,PLATE00000001,314.75
MOL00000276,PLATE00000001,328.38
MOL00000277,PLATE00000001,327.32
MOL00000278,PLATE00000001,271.20
MOL00000279,PLATE00000001,361.36
MOL00000280,PLATE00000001,268.32
MOL00000281,PLATE00000001,339.39
MOL00000282,PLATE00000001,285.37
MOL00000283,PLATE00000001,385.44
MOL00000284,PLATE00000001,295.29
MOL00000285,PLATE00000001,333.43
MOL00000286,PLATE00000001,331.32
MOL00000287,PLATE00000001,395.91
MOL00000288,PLATE00000001,289.28
MOL00000289,PLATE00000001,283.33
MOL00000290,PLATE00000001,380.40
MOL00000291,PLATE00000001,351.38
MOL00000292,PLATE00000001,287.32
MOL00000293,PLATE00000001,355.50
MOL00000294,PLATE00000001,313.35
MOL00000295,PLATE00000001,339.41
MOL00000296,PLATE00000001,367.48
MOL00000297,PLATE00000001,276.72
MOL00000298,PLATE00000001,300.24
MOL00000299,PLATE00000001,308.33
MOL00000300,PLATE00000001,383.41
MOL00000301,PLATE00000001,351.37
MOL00000302,PLATE00000001,336.41
MOL00000303,PLATE00000001,315.33
MOL00000304,PLATE00000001,306.30
MOL00000305,PLATE00000001,318.35
MOL00000306,PLATE00000001,358.43
MOL00000307,PLATE00000001,397.45
MOL00000308,PLATE00000001,293.73
MOL00000309,PLATE00000001,350.41
MOL00000310,PLATE00000001,372.33
MOL00000311,PLATE00000001,276.31
MOL00000312,PLATE00000001,305.33
MOL00000313,PLATE00000001,277.32
MOL00000314,PLATE00000001,341.37
MOL00000315,PLATE00000001,390.45
MOL00000316,PLATE00000001,316.35
MOL00000317,PLATE00000001,295.30
MOL00000318,PLATE00000001,308.35
MOL00000319,PLATE00000001,266.32
MOL00000320,PLATE00000001,323.36
MOL00000321,PLATE00000001,278.31
MOL00000322,PLATE00000001,379.48
MOL00000323,PLATE00000001,361.36
MOL00000324,PLATE00000001,327.36
MOL00000325,PLATE00000001,303.32
MOL00000326,PLATE00000001,256.23
MOL00000327,PLATE00000001,272.69
MOL00000328,PLATE00000001,298.35
MOL00000329,PLATE00000001,345.42
MOL00000330,PLATE00000001,277.28
MOL00000331,PLATE00000001,344.37
MOL00000332,PLATE00000001,368.49
MOL00000333,PLATE00000001,329.37
MOL00000334,PLATE00000001,355.37
MOL00000335,PLATE00000001,346.42
MOL00000336,PLATE00000001,293.33
MOL00000337,PLATE00000001,262.42
MOL00000338,PLATE00000001,343.26
MOL00000339,PLATE00000001,369.44
MOL00000340,PLATE00000001,297.39
MOL00000341,PLATE00000001,261.35
MOL00000342,PLATE00000001,375.36
MOL00000343,PLATE00000001,361.35
MOL00000344,PLATE00000001,348.44
MOL00000345,PLATE00000001,356.44
MOL00000346,PLATE00000001,369.41
MOL00000347,PLATE00000001,357.47
MOL00000348,PLATE00000001,349.39
MOL00000349,PLATE00000001,395.37
MOL00000350,PLATE00000001,309.39
MOL00000351,PLATE00000001,450.49
MOL00000352,PLATE00000001,323.35
MOL00000353,PLATE00000001,373.31
MOL00000354,PLATE00000001,341.39
MOL00000355,PLATE00000001,369.44
MOL00000356,PLATE00000001,278.33
MOL00000357,PLATE00000001,342.19
MOL00000358,PLATE00000001,263.30
MOL00000359,PLATE00000001,343.42
MOL00000360,PLATE00000001,301.34
MOL00000361,PLATE00000001,358.83
MOL00000362,PLATE00000001,328.34
MOL00000363,PLATE00000001,384.37
MOL00000364,PLATE00000001,252.72
MOL00000365,PLATE00000001,340.34
MOL00000366,PLATE00000001,341.40
MOL00000367,PLATE00000001,394.45
MOL00000368,PLATE00000001,263.69
MOL00000369,PLATE00000001,372.44
MOL00000370,PLATE00000001,260.72
MOL00000371,PLATE00000001,391.44
MOL00000372,PLATE00000001,327.36
MOL00000373,PLATE00000001,365.39
MOL00000374,PLATE00000001,307.30
MOL00000375,PLATE00000001,397.39
MOL00000376,PLATE00000001,373.30
MOL00000377,PLATE00000001,277.33
MOL00000378,PLATE00000001,342.35
MOL00000379,PLATE00000001,330.34
MOL00000380,PLATE00000001,296.33
MOL00000381,PLATE00000001,343.39
MOL00000382,PLATE00000001,318.34
MOL00000383,PLATE00000001,344.39
MOL00000384,PLATE00000001,280.32
MOL00000385,PLATE00000002,348.41
MOL00000386,PLATE00000002,293.33
MOL00000387,PLATE00000002,354.41
MOL00000388,PLATE00000002,290.38
MOL00000389,PLATE00000002,317.78
MOL00000390,PLATE00000002,342.80
MOL00000391,PLATE00000002,329.38
MOL00000392,PLATE00000002,347.43
MOL00000393,PLATE00000002,387.40
MOL00000394,PLATE00000002,383.41
MOL00000395,PLATE00000002,354.40
MOL00000396,PLATE00000002,355.41
MOL00000397,PLATE00000002,302.38
MOL00000398,PLATE00000002,326.39
MOL00000399,PLATE00000002,460.40
MOL00000400,PLATE00000002,366.45
MOL00000401,PLATE00000002,267.35
MOL00000402,PLATE00000002,366.45
MOL00000403,PLATE00000002,352.43
MOL00000404,PLATE00000002,299.39
MOL00000405,PLATE00000002,252.33
MOL00000406,PLATE00000002,253.70
MOL00000407,PLATE00000002,346.40
MOL00000408,PLATE00000002,279.31
MOL00000409,PLATE00000002,304.39
MOL00000410,PLATE00000002,354.88
MOL00000411,PLATE00000002,253.70
MOL00000412,PLATE00000002,354.92
MOL00000413,PLATE00000002,322.37
MOL00000414,PLATE00000002,410.99
MOL00000415,PLATE00000002,338.37
MOL00000416,PLATE00000002,382.93
MOL00000417,PLATE00000002,299.35
MOL00000418,PLATE00000002,317.90
MOL00000419,PLATE00000002,393.40
MOL00000420,PLATE00000002,322.38
MOL00000421,PLATE00000002,359.40
MOL00000422,PLATE00000002,274.38
MOL00000423,PLATE00000002,317.38
MOL00000424,PLATE00000002,318.44
MOL00000425,PLATE00000002,367.38
MOL00000426,PLATE00000002,304.41
MOL00000427,PLATE00000002,332.42
MOL00000428,PLATE00000002,279.30
MOL00000429,PLATE00000002,255.29
MOL00000430,PLATE00000002,385.44
MOL00000431,PLATE00000002,372.38
MOL00000432,PLATE00000002,385.39
MOL00000433,PLATE00000002,274.32
MOL00000434,PLATE00000002,293.33
MOL00000435,PLATE00000002,371.44
MOL00000436,PLATE00000002,368.44
MOL00000437,PLATE00000002,341.37
MOL00000438,PLATE00000002,396.51
MOL00000439,PLATE00000002,313.36
MOL00000440,PLATE00000002,347.43
MOL00000441,PLATE00000002,387.40
MOL00000442,PLATE00000002,295.35
MOL00000443,PLATE00000002,334.80
MOL00000444,PLATE00000002,373.42
MOL00000445,PLATE00000002,394.48
MOL00000446,PLATE00000002,335.42
MOL00000447,PLATE00000002,293.77
MOL00000448,PLATE00000002,388.46
MOL00000449,PLATE00000002,325.39
MOL00000450,PLATE00000002,350.46
MOL00000451,PLATE00000002,392.49
MOL00000452,PLATE00000002,290.36
MOL00000453,PLATE00000002,314.40
MOL00000454,PLATE00000002,290.36
MOL00000455,PLATE00000002,366.45
MOL00000456,PLATE00000002,263.32
MOL00000457,PLATE00000002,267.73
MOL00000458,PLATE00000002,369.51
MOL00000459,PLATE00000002,318.40
MOL00000460,PLATE00000002,345.31
MOL00000461,PLATE00000002,322.37
MOL00000462,PLATE00000002,410.99
MOL00000463,PLATE00000002,377.45
MOL00000464,PLATE00000002,381.95
MOL00000465,PLATE00000002,279.36
MOL00000466,PLATE00000002,329.49
MOL00000467,PLATE00000002,315.30
MOL00000468,PLATE00000002,294.34
MOL00000469,PLATE00000002,353.38
MOL00000470,PLATE00000002,314.36
MOL00000471,PLATE00000002,277.32
MOL00000472,PLATE00000002,304.41
MOL00000473,PLATE00000002,355.44
MOL00000474,PLATE00000002,393.52
MOL00000475,PLATE00000002,276.33
MOL00000476,PLATE00000002,300.34
MOL00000477,PLATE00000002,297.35
MOL00000478,PLATE00000002,328.34
MOL00000479,PLATE00000002,378.40
MOL00000480,PLATE00000002,390.43
MOL00000481,PLATE00000002,340.40
MOL00000482,PLATE00000002,293.33
MOL00000483,PLATE00000002,396.45
MOL00000484,PLATE00000002,253.34
MOL00000485,PLATE00000002,299.33
MOL00000486,PLATE00000002,355.41
MOL00000487,PLATE00000002,317.41
MOL00000488,PLATE00000002,381.45
MOL00000489,PLATE00000002,343.39
MOL00000490,PLATE00000002,360.39
MOL00000491,PLATE00000002,393.49
MOL00000492,PLATE00000002,342.44
MOL00000493,PLATE00000002,344.46
MOL00000494,PLATE00000002,255.31
MOL00000495,PLATE00000002,301.41
MOL00000496,PLATE00000002,388.46
MOL00000497,PLATE00000002,301.41
MOL00000498,PLATE00000002,349.45
MOL00000499,PLATE00000002,365.47
MOL00000500,PLATE00000002,273.23
MOL00000501,PLATE00000002,316.42
MOL00000502,PLATE00000002,253.70
MOL00000503,PLATE00000002,352.43
MOL00000504,PLATE00000002,267.73
MOL00000505,PLATE00000002,304.37
MOL00000506,PLATE00000002,379.93
MOL00000507,PLATE00000002,318.40
MOL00000508,PLATE00000002,316.44
MOL00000509,PLATE00000002,308.34
MOL00000510,PLATE00000002,396.96
MOL00000511,PLATE00000002,315.35
MOL00000512,PLATE00000002,321.48
MOL00000513,PLATE00000002,327.40
MOL00000514,PLATE00000002,373.54
MOL00000515,PLATE00000002,327.34
MOL00000516,PLATE00000002,304.41
MOL00000517,PLATE00000002,359.40
MOL00000518,PLATE00000002,290.38
MOL00000519,PLATE00000002,253.34
MOL00000520,PLATE00000002,304.41
MOL00000521,PLATE00000002,355.41
MOL00000522,PLATE00000002,357.45
MOL00000523,PLATE00000002,252.38
MOL00000524,PLATE00000002,386.42
MOL00000525,PLATE00000002,267.33
MOL00000526,PLATE00000002,320.39
MOL00000527,PLATE00000002,270.29
MOL00000528,PLATE00000002,307.35
MOL00000529,PLATE00000002,330.30
MOL00000530,PLATE00000002,314.39
MOL00000531,PLATE00000002,357.41
MOL00000532,PLATE00000002,293.40
MOL00000533,PLATE00000002,321.74
MOL00000534,PLATE00000002,369.44
MOL00000535,PLATE00000002,325.37
MOL00000536,PLATE00000002,385.44
MOL00000537,PLATE00000002,399.49
MOL00000538,PLATE00000002,346.36
MOL00000539,PLATE00000002,383.54
MOL00000540,PLATE00000002,280.37
MOL00000541,PLATE00000002,314.43
MOL00000542,PLATE00000002,312.36
MOL00000543,PLATE00000002,359.44
MOL00000544,PLATE00000002,361.46
MOL00000545,PLATE00000002,305.37
MOL00000546,PLATE00000002,269.34
MOL00000547,PLATE00000002,278.75
MOL00000548,PLATE00000002,284.31
MOL00000549,PLATE00000002,370.49
MOL00000550,PLATE00000002,287.26
MOL00000551,PLATE00000002,276.31
MOL00000552,PLATE00000002,254.69
MOL00000553,PLATE00000002,293.34
MOL00000554,PLATE00000002,260.38
MOL00000555,PLATE00000002,277.30
MOL00000556,PLATE00000002,368.90
MOL00000557,PLATE00000002,294.31
MOL00000558,PLATE00000002,396.96
MOL00000559,PLATE00000002,308.34
MOL00000560,PLATE00000002,395.97
MOL00000561,PLATE00000002,368.46
MOL00000562,PLATE00000002,373.54
MOL00000563,PLATE00000002,303.36
MOL00000564,PLATE00000002,296.39
MOL00000565,PLATE00000002,345.38
MOL00000566,PLATE00000002,290.38
MOL00000567,PLATE00000002,296.33
MOL00000568,PLATE00000002,264.32
MOL00000569,PLATE00000002,354.41
MOL00000570,PLATE00000002,391.44
MOL00000571,PLATE00000002,267.33
MOL00000572,PLATE00000002,357.38
MOL00000573,PLATE00000002,257.35
MOL00000574,PLATE00000002,374.43
MOL00000575,PLATE00000002,346.45
MOL00000576,PLATE00000002,352.35
MOL00000577,PLATE00000002,343.39
MOL00000578,PLATE00000002,358.41
MOL00000579,PLATE00000002,393.45
MOL00000580,PLATE00000002,290.34
MOL00000581,PLATE00000002,299.33
MOL00000582,PLATE00000002,375.49
MOL00000583,PLATE00000002,343.39
MOL00000584,PLATE00000002,381.45
MOL00000585,PLATE00000002,435.95
MOL00000586,PLATE00000002,343.40
MOL00000587,PLATE00000002,367.45
MOL00000588,PLATE00000002,388.50
MOL00000589,PLATE00000002,311.39
MOL00000590,PLATE00000002,376.41
MOL00000591,PLATE00000002,289.35
MOL00000592,PLATE00000002,276.33
MOL00000593,PLATE00000002,303.38
MOL00000594,PLATE00000002,269.34
MOL00000595,PLATE00000002,341.43
MOL00000596,PLATE00000002,263.27
MOL00000597,PLATE00000002,311.76
MOL00000598,PLATE00000002,277.30
MOL00000599,PLATE00000002,316.38
MOL00000600,PLATE00000002,268.72
MOL00000601,PLATE00000002,308.78
MOL00000602,PLATE00000002,340.89
MOL00000603,PLATE00000002,263.32
MOL00000604,PLATE00000002,368.90
MOL00000605,PLATE00000002,324.34
MOL00000606,PLATE00000002,318.89
MOL00000607,PLATE00000002,322.37
MOL00000608,PLATE00000002,377.50
MOL00000609,PLATE00000002,279.36
MOL00000610,PLATE00000002,323.52
MOL00000611,PLATE00000002,311.34
MOL00000612,PLATE00000002,304.41
MOL00000613,PLATE00000002,391.39
MOL00000614,PLATE00000002,290.38
MOL00000615,PLATE00000002,364.40
MOL00000616,PLATE00000002,322.40
MOL00000617,PLATE00000002,371.44
MOL00000618,PLATE00000002,322.32
MOL00000619,PLATE00000002,253.30
MOL00000620,PLATE00000002,320.36
MOL00000621,PLATE00000002,281.36
MOL00000622,PLATE00000002,352.35
MOL00000623,PLATE00000002,346.42
MOL00000624,PLATE00000002,316.34
MOL00000625,PLATE00000002,384.46
MOL00000626,PLATE00000002,346.45
MOL00000627,PLATE00000002,315.28
MOL00000628,PLATE00000002,369.91
MOL00000629,PLATE00000002,383.45
MOL00000630,PLATE00000002,369.44
MOL00000631,PLATE00000002,373.37
MOL00000632,PLATE00000002,385.44
MOL00000633,PLATE00000002,382.42
MOL00000634,PLATE00000002,378.40
MOL00000635,PLATE00000002,391.52
MOL00000636,PLATE00000002,290.36
MOL00000637,PLATE00000002,335.37
MOL00000638,PLATE00000002,379.41
MOL00000639,PLATE00000002,315.39
MOL00000640,PLATE00000002,304.39
MOL00000641,PLATE00000002,343.45
MOL00000642,PLATE00000002,393.44
MOL00000643,PLATE00000002,258.34
MOL00000644,PLATE00000002,305.35
MOL00000645,PLATE00000002,280.36
MOL00000646,PLATE00000002,319.38
MOL00000647,PLATE00000002,369.44
MOL00000648,PLATE00000002,262.33
MOL00000649,PLATE00000002,263.27
MOL00000650,PLATE00000002,354.92
MOL00000651,PLATE00000002,301.41
MOL00000652,PLATE00000002,328.84
MOL00000653,PLATE00000002,322.37
MOL00000654,PLATE00000002,396.96
MOL00000655,PLATE00000002,338.37
MOL00000656,PLATE00000002,387.57
MOL00000657,PLATE00000002,328.39
MOL00000658,PLATE00000002,262.33
MOL00000659,PLATE00000002,311.34
MOL00000660,PLATE00000002,310.80
MOL00000661,PLATE00000002,352.35
MOL00000662,PLATE00000002,336.41
MOL00000663,PLATE00000002,299.46
MOL00000664,PLATE00000002,318.44
MOL00000665,PLATE00000002,396.45
MOL00000666,PLATE00000002,374.40
MOL00000667,PLATE00000002,267.33
MOL00000668,PLATE00000002,357.38
MOL00000669,PLATE00000002,258.26
MOL00000670,PLATE00000002,380.36
MOL00000671,PLATE00000002,346.27
MOL00000672,PLATE00000002,375.90
MOL00000673,PLATE00000002,392.48
MOL00000674,PLATE00000002,384.48
MOL00000675,PLATE00000002,313.32
MOL00000676,PLATE00000002,308.36
MOL00000677,PLATE00000002,355.44
MOL00000678,PLATE00000002,359.38
MOL00000679,PLATE00000002,343.39
MOL00000680,PLATE00000002,361.46
MOL00000681,PLATE00000002,394.43
MOL00000682,PLATE00000002,287.33
MOL00000683,PLATE00000002,371.49
MOL00000684,PLATE00000002,339.38
MOL00000685,PLATE00000002,325.42
MOL00000686,PLATE00000002,366.45
MOL00000687,PLATE00000002,319.38
MOL00000688,PLATE00000002,353.41
MOL00000689,PLATE00000002,301.41
MOL00000690,PLATE00000002,380.48
MOL00000691,PLATE00000002,250.33
MOL00000692,PLATE00000002,269.70
MOL00000693,PLATE00000002,360.49
MOL00000694,PLATE00000002,276.31
MOL00000695,PLATE00000002,362.47
MOL00000696,PLATE00000002,287.26
MOL00000697,PLATE00000002,263.32
MOL00000698,PLATE00000002,354.92
MOL00000699,PLATE00000002,346.41
MOL00000700,PLATE00000002,392.50
MOL00000701,PLATE00000002,366.38
MOL00000702,PLATE00000002,414.95
MOL00000703,PLATE00000002,308.34
MOL00000704,PLATE00000002,333.45
MOL00000705,PLATE00000002,283.29
MOL00000706,PLATE00000002,262.33
MOL00000707,PLATE00000002,351.36
MOL00000708,PLATE00000002,276.35
MOL00000709,PLATE00000002,316.45
MOL00000710,PLATE00000002,304.41
MOL00000711,PLATE00000002,256.43
MOL00000712,PLATE00000002,300.38
MOL00000713,PLATE00000002,316.38
MOL00000714,PLATE00000002,290.28
MOL00000715,PLATE00000002,255.29
MOL00000716,PLATE00000002,285.32
MOL00000717,PLATE00000002,336.34
MOL00000718,PLATE00000002,364.37
MOL00000719,PLATE00000002,346.27
MOL00000720,PLATE00000002,396.31
MOL00000721,PLATE00000002,385.51
MOL00000722,PLATE00000002,293.40
MOL00000723,PLATE00000002,287.30
MOL00000724,PLATE00000002,322.38
MOL00000725,PLATE00000002,317.78
MOL00000726,PLATE00000002,367.42
MOL00000727,PLATE00000002,385.42
MOL00000728,PLATE00000002,355.41
MOL00000729,PLATE00000002,395.48
MOL00000730,PLATE00000002,357.42
MOL00000731,PLATE00000002,380.45
MOL00000732,PLATE00000002,336.43
MOL00000733,PLATE00000002,387.48
MOL00000734,PLATE00000002,366.45
MOL00000735,PLATE00000002,351.44
